key_retro,name_last,name_first
mercm002,Mercado,Michael
mullm101,Mullen,Ford
burkj104,Burke,Jimmy
coggd001,Coggin,Dave
ayeru901,Ayers,A. D.
rojoj101,Rojo,Julio
cookm001,Cook,Mike
davib003,Davis,Ben
messb102,Messenger,Andrew
fortb001,Fortunato,Bartolomé
lombl101,Lombardo,Lou
camaj801,Camacho,Joe
rogen101,Rogers,Nat
robiv101,Robinson,Val
barch001,Barco,Hunter
torrj101,Torre,Joe
walkc102,Walker,Casey
hestl101,Hesterfer,Larry
pilld101,Pillette,Duane
mannd001,Manning,David
zumaj001,Zumaya,Joel
sasar001,Sasaki,Roki
rearc001,Rearick,Chris
singe101,Singleton,Elmer
misnk001,Misner,Kameron
fairs001,Fairchild,Stuart
kennr101,Kennedy,Ray
palla001,Pallante,Andre
joned001,Jones,Doug
gomey001,Gomes,Yan
basht001,Bashlor,Tyler
wilsp002,Wilson,Preston
hortr001,Horton,Ricky
grimb101,Grimes,Burleigh
walkd102,Walker,Dixie
meadd001,Meads,Dave
castb003,Castano,Blas
kimbh102,Kimbro,Henry
walsj105,Walsh,John
holms001,Holman,Shawn
mendm101,Mendoza,Mario
spenj101,Spencer,Jim
doddd001,Dodd,Dylan
westj002,Westburg,Jordan
barne101,Barnes,Eppie
tillj101,Tillman,Johnny
starc102,Starr,William
smitg104,Smith,George
flenh001,Flener,Huck
jackb101,Jackson,Bill
branr101,Brand,Ron
ochoi001,Ochoa,Iván
balsd801,Balsley,Darren
mount001,Mounce,Tony
serrb101,Serrell,Bonnie
patts001,Patterson,Scott
kellj104,Kelly,John
willl104,Williams,Lefty
adcoj101,Adcock,Joe
applr101,Applegate,Red
evanb104,Evans,Bill
mortc102,Morton,Carl
spenc101,Spencer,Chet
hudsr102,Hudspeth,Robert
hoopm101,Hooper,Mike
alcas101,Alcalá,Santo
stapd002,Stapleton,Dave
wilkl101,Wilkie,Aldon
wardp104,Ward,Pinky
boarf101,Boardman,Frederick
mckad001,McKay,David
britj102,Brittin,Jack
glavl101,Glavenich,Luke
gomej002,Gómez,Jeanmar
depaj004,De Paula,José
stras102,Strang,Sammy
gomba001,Gomber,Austin
chapj001,Chapman,Jaye
lecus001,LeCure,Sam
hardc101,Hardy,Carroll
gonzf101,González,Fernando
primr101,Prim,Ray
ruckj101,Rucker,Johnny
cockj102,Cockerham,Jimmy
manoj001,Mañón,Julio
hoeyj101,Hoey,Jack
daugj001,Daugherty,Jack
